charity_name,abn,charity_size,registration_date,website,address_line_1,address_line_2,town_city,state,postcode,email,phone,source,full_address,charity_purposes,beneficiaries
His House Incorporated,20160089146.0,Small,03/12/2012,https://www.hishouse.org.au,54 Bridge St,,Picton,NSW,2571,,,ACNC Register,"54 Bridge St, Picton, NSW, 2571",Religion,"Children, Adults, Aged Persons, Youth, Families, People With Disabilities"
Wollondilly Support And Community Care Inc.,31813620832.0,Medium,03/12/2012,https://iccare.org.au/,65 Menangle St,,Picton,NSW,2571,,,ACNC Register,"65 Menangle St, Picton, NSW, 2571",,"Adults, Aged Persons, People With Disabilities, General Community In Australia"
COUNTRY RESILIENCE (WOLLONDILLY) LTD,31685976890.0,,04/04/2025,https://www.countryresilience.org.au,36 Menangle St,,Picton,NSW,2571,,,ACNC Register,"36 Menangle St, Picton, NSW, 2571",Social Or Public Welfare,"Families, People With Disabilities, General Community In Australia"
His House Care Incorporated,24799245650.0,Small,03/12/2012,https://www.hishouse.org.au,54 Bridge St,,Picton,NSW,2571,,,ACNC Register,"54 Bridge St, Picton, NSW, 2571",Social Or Public Welfare,"Children, Adults, Aged Persons, Youth, Families, General Community In Australia"
Picton High School P & C Association,43979176197.0,Small,03/12/2012,https://picton-h.schools.nsw.gov.au/,Picton High School,,Picton,NSW,2571,,,ACNC Register,"Picton High School, Picton, NSW, 2571",Education,"Children, Youth"
Wollondilly Anglican Church,36255906764.0,Small,03/12/2012,https://wollondillyanglican.org,Hse 9 150 Abbotsford Rd,,Picton,NSW,2571,,,ACNC Register,"Hse 9 150 Abbotsford Rd, Picton, NSW, 2571",Religion,"Children, Families"
PICTON PUBLIC SCHOOL PARENTS AND CITIZENS ASSOCIATION,53211664165.0,Small,03/12/2012,https://www.facebook.com/profile.php?id=100054507277977,27 Lumsdaine St,,Picton,NSW,2571,,,ACNC Register,"27 Lumsdaine St, Picton, NSW, 2571",Education,Children
Parish of Picton & Wilton Anglican,65970402916.0,Small,03/12/2012,https://pwac.org.au,7 Menangle St W,,Picton,NSW,2571,,,ACNC Register,"7 Menangle St W, Picton, NSW, 2571",Religion,"Youth, General Community In Australia"
Picton Primary School Parents And Citizens Association Inc,88199821658.0,Small,03/12/2012,,Picton Primary School,,Glen Iris,WA,6230,,,ACNC Register,"Picton Primary School, Glen Iris, WA, 6230",Education,Children
UCA - Wollondilly Congregation,58826505693.0,Small,03/12/2012,,Po Box 840,,Picton,NSW,2571,,,ACNC Register,"Po Box 840, Picton, NSW, 2571",Religion,"Families, General Community In Australia"
Wollondilly Arts Group Inc,17612808080.0,,03/12/2012,http://www.wollondillyartsgroup.com.au,Po Box 799,,Picton,NSW,2571,,,ACNC Register,"Po Box 799, Picton, NSW, 2571",Culture,"Adults, Aged Persons, General Community In Australia"
Australian Mariners' Welfare Society,86000008122.0,Small,03/12/2012,https://www.marinerswelfare.com,PO Box 61,,Picton,NSW,2571,,,ACNC Register,"PO Box 61, Picton, NSW, 2571",,
