contact_id,contact_type,contact_value,organization_name,organization_type,source_agent,source_url,address,suburb,state,postcode,services,verified_date,confidence_score,notes,risk_level,priority_score,geographic_region,category
nsw_hospital_0,phone,(02) 4734 2000,Nepean Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=136,Derby Street,Penrith,NSW,2750,Emergency Department,2025-08-30T10:46:20.785825,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_1,phone,(02) 9845 6000,Westmead Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=153,Corner Hawkesbury and Darcy Roads,Westmead,NSW,2145,Emergency Department,2025-08-30T10:46:20.785875,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_2,phone,(02) 8656 1000,Blacktown Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=97,18 Blacktown Road,Blacktown,NSW,2148,Emergency Department,2025-08-30T10:46:20.785896,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_3,phone,(02) 6080 8900,Albury Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=94,PO Box 326,Albury,NSW,2640,Emergency Department,2025-08-30T10:46:20.785914,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_4,phone,(02) 9926 7111,Royal North Shore Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=143,Reserve Road,St Leonards,NSW,2065,Emergency Department,2025-08-30T10:46:20.785932,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_5,phone,(02) 9515 6111,Royal Prince Alfred Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=142,Missenden Road,Camperdown,NSW,2050,Emergency Department,2025-08-30T10:46:20.785949,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_6,phone,(02) 9113 1111,Liverpool Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=125,Corner of Elizabeth and Goulburn Streets,Liverpool,NSW,2170,Emergency Department,2025-08-30T10:46:20.785966,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_7,phone,(02) 8738 3000,Campbelltown Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=105,Therry Road,Campbelltown,NSW,2560,Emergency Department,2025-08-30T10:46:20.785983,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_8,phone,(02) 9382 2222,Prince of Wales Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=138,Barker Street,Randwick,NSW,2031,Emergency Department,2025-08-30T10:46:20.786000,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_9,phone,(02) 9540 7111,St George Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=145,Gray Street,Kogarah,NSW,2217,Emergency Department,2025-08-30T10:46:20.786016,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_10,phone,(02) 4320 2111,Gosford Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=117,Holden Street,Gosford,NSW,2250,Emergency Department,2025-08-30T10:46:20.786033,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_11,phone,(02) 9858 7888,Hornsby Ku-ring-gai Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=120,Palmerston Road,Hornsby,NSW,2077,Emergency Department,2025-08-30T10:46:20.786050,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_12,phone,(02) 4921 3000,John Hunter Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=123,Lookout Road,New Lambton Heights,NSW,2305,Emergency Department,2025-08-30T10:46:20.786066,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_13,phone,(02) 9767 5000,Concord Repatriation General Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=108,Hospital Road,Concord,NSW,2139,Emergency Department,2025-08-30T10:46:20.786082,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_14,phone,(02) 6620 2222,Lismore Base Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=124,60 Uralba Street,Lismore,NSW,2480,Emergency Department,2025-08-30T10:46:20.786099,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_15,phone,(02) 4220 2111,Wollongong Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=155,Crown Street,Wollongong,NSW,2500,Emergency Department,2025-08-30T10:46:20.786115,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_16,phone,(02) 6766 1722,Tamworth Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=148,Dean Street,Tamworth,NSW,2340,Emergency Department,2025-08-30T10:46:20.786132,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_17,phone,(02) 6846 6000,Dubbo Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=113,Myall Street,Dubbo,NSW,2830,Emergency Department,2025-08-30T10:46:20.786148,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_18,phone,(02) 4924 6000,Mater Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=239,Edith Street,Waratah,NSW,2298,Emergency Department,2025-08-30T10:46:20.786165,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_19,phone,(02) 4924 6700,John Hunter Children's Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=158,Lookout Road,New Lambton Heights,NSW,2305,Children's Emergency,2025-08-30T10:46:20.786181,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_20,phone,(02) 9855 5555,Sydney Children's Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=147,High Street,Randwick,NSW,2031,Children's Emergency,2025-08-30T10:46:20.786197,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_21,phone,(02) 9845 0000,The Children's Hospital at Westmead,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=149,Corner Hawkesbury Road and Hainsworth Street,Westmead,NSW,2145,Children's Emergency,2025-08-30T10:46:20.786214,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_22,phone,(02) 9553 1111,Sutherland Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=146,Kareena Road,Caringbah,NSW,2229,Emergency Department,2025-08-30T10:46:20.786230,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_23,phone,(02) 9881 1111,Ryde Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=144,Denistone Road,Eastwood,NSW,2122,Emergency Department,2025-08-30T10:46:20.786246,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_24,phone,(02) 9633 8111,Auburn Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=96,Hargrave Road,Auburn,NSW,2144,Emergency Department,2025-08-30T10:46:20.786263,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_25,phone,(02) 9978 5000,Mona Vale Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=134,Coronation Street,Mona Vale,NSW,2103,Emergency Department,2025-08-30T10:46:20.786279,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_26,phone,(02) 9932 5000,Manly Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=126,Darley Road,Manly,NSW,2095,Emergency Department,2025-08-30T10:46:20.786295,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_27,phone,(02) 4964 7000,Belmont Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=225,Croudace Bay Road,Belmont,NSW,2280,Emergency Department,2025-08-30T10:46:20.786312,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_28,phone,(02) 9562 5000,Canterbury Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=106,Canterbury Road,Campsie,NSW,2194,Emergency Department,2025-08-30T10:46:20.786328,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_29,phone,(02) 9828 5700,Fairfield Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=114,Corner of Prairie Vale Road and Polding Street,Prairiewood,NSW,2176,Emergency Department,2025-08-30T10:46:20.786344,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_30,phone,(02) 4221 4411,Shellharbour Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=232,15-17 Madigan Boulevard,Mount Warrigal,NSW,2528,Emergency Department,2025-08-30T10:46:20.786361,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_31,phone,(02) 4223 8000,Shoalhaven District Memorial Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=233,Scenic Drive,Nowra,NSW,2541,Emergency Department,2025-08-30T10:46:20.786377,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_32,phone,(02) 4924 7000,Calvary Mater Newcastle,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=241,Edith Street,Waratah,NSW,2298,Emergency Department,2025-08-30T10:46:20.786393,0.9,Public hospital,safe,0.0,NSW,Healthcare
nsw_hospital_33,phone,(02) 4985 3555,Maitland Hospital,hospital,nsw_hospitals_scraper,https://www.health.nsw.gov.au/facilities/Pages/facility-details.aspx?fid=224,550 High Street,Maitland,NSW,2320,Emergency Department,2025-08-30T10:46:20.786410,0.9,Public hospital,safe,0.0,NSW,Healthcare
