service_name,phone_number,hours_of_operation,description,source_url
Administrative Appeals Tribunal,1800 228 333,Hours of Operation: Business Hours,General enquiries,https://www.directory.gov.au/enquiry-lines/a#paginationControl
Aged Care Complaints,1800 550 552,Hours of Operation: Business Hours,Available to all users of aged care services,https://www.directory.gov.au/enquiry-lines/a#paginationControl
Aged Care Information Line,1800 200 422,Hours of Operation: Business hours,Information about Community Aged Care Packages and residential care fees in Australian Government funded facilities,https://www.directory.gov.au/enquiry-lines/a#paginationControl
Alcohol Campaign Information Line,1800 250 015,,Alcohol and Drug Information Service,https://www.directory.gov.au/enquiry-lines/a#paginationControl
ASIO - Australian Security Intelligence,1800 020 648,,,https://www.directory.gov.au/enquiry-lines/a#paginationControl
ATO entry point for government dept,(02) 6216 8600,,"If you require information from the ATO and are making an enquiry on behalf of a government department or agency, your request for assistance can be emailed to atogateway.gov.auThis service is only available in response to official requests from government departments and agencies (Federal State or Territory) - requests that do not come from a \2018.gov.au` or \2018.govt.nz` email address will be automatically rejected.Alternatively, you can call (02) 6216 8600 during business hours.This number is only available to government departments and agencies - for individual and business enquiries, refer to the numbers listed below - we cannot redirect your call or provide any individual or business assistance.",https://www.directory.gov.au/enquiry-lines/a#paginationControl
Austrade Export Inquiries,13 2878,Hours of Operation: Business Hours,,https://www.directory.gov.au/enquiry-lines/a#paginationControl
Australian Passport Assistance,131 232,Hours of Operation: Monday to Friday: 8.00 am to 7.00 pm (AEST).  We are closed on Australian national public holidays.,"Australian Passport Information Service (Telephone Service) Hours of operation:-You can call us on 131 232 Monday to Friday: 8.00 am to 7.00 pm (AEST)-You can submit your documents and forms at any Australian Passport Office. You must make an appointment before attending. Someone can attend on your behalf. Hours for appointments are 8:30am to 1pm, Monday to Friday.-Direct queries to: https://www.smartraveller.gov.au/consular-services/notarial-services/documents-in-australia-Authentications, Apostilles and Certificates of No Impediment - refer to the Legalising documents page for forms, costs and other important information. Documents lodged through the mail are processed in Sydney and Melbourne.-We can legalise your documents in Australia by mail or in person. To request our services, complete the Document legalisation request form. It's important that you prepare your documents and complete the request form accurately. We don't accept incomplete requests.Passport website:  www.passports.gov.auDue to Australian privacy laws information cannot be provided via an email request.",https://www.directory.gov.au/enquiry-lines/a#paginationControl
Australian Passport Information Service,13 1232,Hours of Operation: Monday to Friday: 8.00 am to 7.00 pm (AEST).  We are closed on Australian national public holidays.,"Australian Passport Information Service (Telephone Service) Hours of operation:-You can call us on 131 232 Monday to Friday: 8.00 am to 7.00 pm (AEST)-You can submit your documents and forms at any Australian Passport Office. You must make an appointment before attending. Someone can attend on your behalf. Hours for appointments are 8:30am to 1pm, Monday to Friday.-Direct queries to: https://www.smartraveller.gov.au/consular-services/notarial-services/documents-in-australia-Authentications, Apostilles and Certificates of No Impediment - refer to the Legalising documents page for forms, costs and other important information. Documents lodged through the mail are processed in Sydney and Melbourne.-We can legalise your documents in Australia by mail or in person. To request our services, complete the Document legalisation request form. It's important that you prepare your documents and complete the request form accurately. We don't accept incomplete requests.Passport website:  www.passports.gov.auDue to Australian privacy laws information cannot be provided via an email request.",https://www.directory.gov.au/enquiry-lines/a#paginationControl
Australian Passport Office,131 232,Hours of Operation: 8:30am to 4:00 pm weekdays,"For legalisation services, please make an appointment at  Australian Passport Office - Perth | Perth [ Book now ]",https://www.directory.gov.au/enquiry-lines/a#paginationControl
Australian Prudential Regulation Authori,1300 558 849,,APRA is the prudential regulator of financial institutions.,https://www.directory.gov.au/enquiry-lines/a#paginationControl
Australian Securities and Investments Co,1300 300 630,Hours of Operation: Business,General Enquiries,https://www.directory.gov.au/enquiry-lines/a#paginationControl
Aviation Search and Rescue,1800 815 257,Hours of Operation: 24 hour emergency,,https://www.directory.gov.au/enquiry-lines/a#paginationControl
Bankruptcy (personal) information,1300 364 785,Hours of Operation: Monday to Friday 8:30 am to 8:00 pm (AEST and AEDT),AFSA Bankruptcy (personal) information line.,https://www.directory.gov.au/enquiry-lines/b#paginationControl
Bereavement,1800 838 372,Hours of Operation: 8am to 5 pm,A bereavement payment is designed to help with the costs that may follow the death of a pensioner or a current or former serving member. The bereavement payment may depend on when the person who died was injured,https://www.directory.gov.au/enquiry-lines/b#paginationControl
Blood Authority Information line,(02) 6211 8300,Hours of Operation: Business Hours,General enquiries,https://www.directory.gov.au/enquiry-lines/b#paginationControl
Breastscreen Australia,13 2050,Hours of Operation: Business hours,To book a free screening mammogram,https://www.directory.gov.au/enquiry-lines/b#paginationControl
Business-hours Indigenous Helpline,13 1030,,"8am-6pm, Mon-Fri (local time) except national public holidays",https://www.directory.gov.au/enquiry-lines/b#paginationControl
Business-hours Non-profit organisations,1300 130 248,,"8am-6pm, Mon-Fri (local time) except national public holidays",https://www.directory.gov.au/enquiry-lines/b#paginationControl
Business-hours Superannuation Enquiries,13 1020,,"8am-6pm, Mon-Fri (local time) except national public holidays",https://www.directory.gov.au/enquiry-lines/b#paginationControl
Business-hours Translating and Interpret,13 1450,,"Translating and Interpreting service for people from non-English speaking backgrounds8am-6pm, Mon-Fri (local time) except national public holidays",https://www.directory.gov.au/enquiry-lines/b#paginationControl
business.gov.au 13 28 46,13 2846,Hours of Operation: 8.00am - 8.00pm AEST Monday to Friday,"business.gov.au is an online government resource for the Australian business community. business.gov.au offers you simple and convenient access to all of the government information, forms and services you need. It's a whole-of-government service providing essential information on planning, starting and growing your business.",https://www.directory.gov.au/enquiry-lines/b#paginationControl
Carer Resource Centres,1800 242 636,,Information and advice about services and assistance for carers,https://www.directory.gov.au/enquiry-lines/c#paginationControl
Cervical Screening Program,13 1556,,General information line,https://www.directory.gov.au/enquiry-lines/c#paginationControl
Citizenship Information Line,131 880,"Hours of Operation: Monday to Friday, 9am to 5pm",Use this number to:request application forms for Australian citizenshipobtain information about:application fees and processescitizenship ceremonies Australian citizenship affirmation ceremonies dual citizenship.,https://www.directory.gov.au/enquiry-lines/c#paginationControl
Commemorative Grants,1800 020 283,,"Enquiries regarding Saluting Their Service Grants Program which aims to preserve Australia’s wartime heritage and to involve people throughout the nation in a range of projects and activities that highlight the service and sacrifice of Australia’s service personnel in wars, conflicts and peace operations.",https://www.directory.gov.au/enquiry-lines/c#paginationControl
Community Nursing,1800 838 372,,Community Nursing,https://www.directory.gov.au/enquiry-lines/c#paginationControl
Competition and Consumer information - A,1300 302 502,Hours of Operation: 11am-3pm Monday to Friday,Information line to explain rights and obligations to business and consumers,https://www.directory.gov.au/enquiry-lines/c#paginationControl
"Complaints, compliments and suggestions",1800 199 010,,"We welcome your feedback - complaints, compliments and suggestions - about the services we provide and your experience with the way we deliver those services. This feedback helps us improve the way we do things.Call from overseas: +61 2 6216 1111",https://www.directory.gov.au/enquiry-lines/c#paginationControl
"Compliments, Complaints and Suggestions",133 177,Hours of Operation: 9am to 5pm (local Melbourne time),"​Your feedback is valuable to us. We use your feedback to improve our services to industry and the community, and investigate and respond to any issues of concern.Feedback can be compliments, complaints and suggestions:•Compliments are praise or congratulations about any aspect of our services, performance or how we do business.•Complaints are an expression of dissatisfaction or unmet expectations about any aspect of our service or the way we conduct our business.•Suggestions are ideas on how we could improve our services or do our business differently.We value your feedback. If we get things wrong, we need to address and evaluate such instances to resolve these matters promptly. Similarly, we should recognise when we are complimented on our service and performance.We are committed to providing services in ways that are considerate of the impact to:•Passenger movement•Cargo clearance•Compliance monitoring•Operational activities•Visa and Citizenship applications and processes•Service providers and partners.",https://www.directory.gov.au/enquiry-lines/c#paginationControl
Consular Emergency Centre,1300 555 135,,"The Consular Emergency Centre (CEC) provides emergency consular services 24 hours a day, seven days a week, around the world.",https://www.directory.gov.au/enquiry-lines/c#paginationControl
Continence Helpline,1800 330 066,Hours of Operation: Business hours,Assistance to improve continence treatment and management,https://www.directory.gov.au/enquiry-lines/c#paginationControl
Defence Service Home Insurance,1300 552 662,Hours of Operation: available 24/7 for emergency claim assistance,Comprehensive home building insurance cover tailored to the Defence community,https://www.directory.gov.au/enquiry-lines/d#paginationControl
Defence Service Home Lending,1800 722 000,,Housing loans to recognise the contribution of those who have served in the Australian Defence Force,https://www.directory.gov.au/enquiry-lines/d#paginationControl
Dementia Behaviour Advisory Service,1300 366 448,Hours of Operation: 24 Hours,This is a national telephone service to assist carers who look after those with dementia.,https://www.directory.gov.au/enquiry-lines/d#paginationControl
Dementia Helpline,1800 100 500,Hours of Operation: 24 Hours,The Dementia Helpline is a national support service staffed by trained and experienced advisors.,https://www.directory.gov.au/enquiry-lines/d#paginationControl
DVA Feedback,1800 838 372,Hours of Operation: 8am to 5 pm Monday to Friday,DVA Feedback,https://www.directory.gov.au/enquiry-lines/d#paginationControl
Employers' Immigration Hotline,1800 040 070,"Hours of Operation: Monday to Friday, 9am to 5pm","Use this number to check, as an employer, the work rights of potential employees.",https://www.directory.gov.au/enquiry-lines/e#paginationControl
