contact_id,contact_type,contact_value,organization_name,organization_type,source_agent,source_url,address,suburb,state,postcode,services,verified_date,confidence_score,notes,risk_level,priority_score,geographic_region,category,hospital_name,hospital_type,phone,email,website,street_address,full_address,local_health_district,source,article_title,scam_type,threat_type,threat_value,date_reported,scam_tactics,impersonated_organizations,article_url,charity_name,abn,charity_purposes,registration_date,charity_size,service_name,phone_number,hours_of_operation,description
nsw_gov_0,phone,13 77 88,Service NSW,government,nsw_enhanced_scraper,https://www.service.nsw.gov.au,,,NSW,,Government services,2025-08-30T14:41:20.691594,0.95,Official NSW Government contact,safe,0.0,NSW,Official Services,,,,,,,,,,,,,,,,,,,,,,,,,,
nsw_gov_1,email,enquiries@service.nsw.gov.au,Service NSW,government,nsw_enhanced_scraper,https://www.service.nsw.gov.au,,,NSW,,Government services,2025-08-30T14:41:20.691594,0.95,Official NSW Government email,safe,0.0,NSW,Official Services,,,,,,,,,,,,,,,,,,,,,,,,,,
nsw_gov_2,website,https://www.service.nsw.gov.au,Service NSW,government,nsw_enhanced_scraper,https://www.service.nsw.gov.au,,,NSW,,Government services,2025-08-30T14:41:20.691594,0.95,Official NSW Government website,safe,0.0,NSW,Official Services,,,,,,,,,,,,,,,,,,,,,,,,,,
nsw_gov_3,phone,1800 020 080,NSW Health,government,nsw_enhanced_scraper,https://www.health.nsw.gov.au,,,NSW,,Government services,2025-08-30T14:41:20.691608,0.95,Official NSW Government contact,safe,0.0,NSW,Official Services,,,,,,,,,,,,,,,,,,,,,,,,,,
nsw_gov_4,email,contact@health.nsw.gov.au,NSW Health,government,nsw_enhanced_scraper,https://www.health.nsw.gov.au,,,NSW,,Government services,2025-08-30T14:41:20.691608,0.95,Official NSW Government email,safe,0.0,NSW,Official Services,,,,,,,,,,,,,,,,,,,,,,,,,,
nsw_gov_5,website,https://www.health.nsw.gov.au,NSW Health,government,nsw_enhanced_scraper,https://www.health.nsw.gov.au,,,NSW,,Government services,2025-08-30T14:41:20.691608,0.95,Official NSW Government website,safe,0.0,NSW,Official Services,,,,,,,,,,,,,,,,,,,,,,,,,,
nsw_gov_6,phone,131 500,Transport for NSW,government,nsw_enhanced_scraper,https://www.transport.nsw.gov.au,,,NSW,,Government services,2025-08-30T14:41:20.691613,0.95,Official NSW Government contact,safe,0.0,NSW,Official Services,,,,,,,,,,,,,,,,,,,,,,,,,,
nsw_gov_7,email,feedback@transport.nsw.gov.au,Transport for NSW,government,nsw_enhanced_scraper,https://www.transport.nsw.gov.au,,,NSW,,Government services,2025-08-30T14:41:20.691613,0.95,Official NSW Government email,safe,0.0,NSW,Official Services,,,,,,,,,,,,,,,,,,,,,,,,,,
nsw_gov_8,website,https://www.transport.nsw.gov.au,Transport for NSW,government,nsw_enhanced_scraper,https://www.transport.nsw.gov.au,,,NSW,,Government services,2025-08-30T14:41:20.691613,0.95,Official NSW Government website,safe,0.0,NSW,Official Services,,,,,,,,,,,,,,,,,,,,,,,,,,
nsw_gov_9,phone,131 444,NSW Police Force,government,nsw_enhanced_scraper,https://www.police.nsw.gov.au,,,NSW,,Government services,2025-08-30T14:41:20.691616,0.95,Official NSW Government contact,safe,0.0,NSW,Official Services,,,,,,,,,,,,,,,,,,,,,,,,,,
nsw_gov_10,email,customerassist@police.nsw.gov.au,NSW Police Force,government,nsw_enhanced_scraper,https://www.police.nsw.gov.au,,,NSW,,Government services,2025-08-30T14:41:20.691616,0.95,Official NSW Government email,safe,0.0,NSW,Official Services,,,,,,,,,,,,,,,,,,,,,,,,,,
nsw_gov_11,website,https://www.police.nsw.gov.au,NSW Police Force,government,nsw_enhanced_scraper,https://www.police.nsw.gov.au,,,NSW,,Government services,2025-08-30T14:41:20.691616,0.95,Official NSW Government website,safe,0.0,NSW,Official Services,,,,,,,,,,,,,,,,,,,,,,,,,,
nsw_gov_12,phone,1300 679 332,Department of Education,government,nsw_enhanced_scraper,https://education.nsw.gov.au,,,NSW,,Government services,2025-08-30T14:41:20.691619,0.95,Official NSW Government contact,safe,0.0,NSW,Official Services,,,,,,,,,,,,,,,,,,,,,,,,,,
