contact_id,contact_type,contact_value,organization_name,organization_type,source_agent,source_url,address,suburb,state,postcode,services,verified_date,confidence_score,notes
gov_phone_0,phone,1800 228 333,Administrative Appeals Tribunal,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,General enquiries,2025-08-30T06:49:35.215058,0.9,Federal government directory - Hours of Operation: Business Hours
gov_phone_1,phone,1800 550 552,Aged Care Complaints,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,Available to all users of aged care services,2025-08-30T06:49:35.215123,0.9,Federal government directory - Hours of Operation: Business Hours
gov_phone_2,phone,1800 200 422,Aged Care Information Line,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,Information about Community Aged Care Packages and residential care fees in Australian Government funded facilities,2025-08-30T06:49:35.215160,0.9,Federal government directory - Hours of Operation: Business hours
gov_phone_3,phone,1800 250 015,Alcohol Campaign Information Line,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,Alcohol and Drug Information Service,2025-08-30T06:49:35.215220,0.9,Federal government directory - nan
gov_phone_4,phone,1800 020 648,ASIO - Australian Security Intelligence,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,nan,2025-08-30T06:49:35.215267,0.9,Federal government directory - nan
gov_phone_5,phone,(02) 6216 8600,ATO entry point for government dept,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,"If you require information from the ATO and are making an enquiry on behalf of a government department or agency, your request for assistance can be emailed to atogateway.gov.auThis service is only available in response to official requests from government departments and agencies (Federal State or Territory) - requests that do not come from a \2018.gov.au` or \2018.govt.nz` email address will be automatically rejected.Alternatively, you can call (02) 6216 8600 during business hours.This number is only available to government departments and agencies - for individual and business enquiries, refer to the numbers listed below - we cannot redirect your call or provide any individual or business assistance.",2025-08-30T06:49:35.215299,0.9,Federal government directory - nan
gov_phone_6,phone,13 2878,Austrade Export Inquiries,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,nan,2025-08-30T06:49:35.215327,0.9,Federal government directory - Hours of Operation: Business Hours
gov_phone_7,phone,131 232,Australian Passport Assistance,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,"Australian Passport Information Service (Telephone Service) Hours of operation:-You can call us on 131 232 Monday to Friday: 8.00 am to 7.00 pm (AEST)-You can submit your documents and forms at any Australian Passport Office. You must make an appointment before attending. Someone can attend on your behalf. Hours for appointments are 8:30am to 1pm, Monday to Friday.-Direct queries to: https://www.smartraveller.gov.au/consular-services/notarial-services/documents-in-australia-Authentications, Apostilles and Certificates of No Impediment - refer to the Legalising documents page for forms, costs and other important information. Documents lodged through the mail are processed in Sydney and Melbourne.-We can legalise your documents in Australia by mail or in person. To request our services, complete the Document legalisation request form. It's important that you prepare your documents and complete the request form accurately. We don't accept incomplete requests.Passport website:  www.passports.gov.auDue to Australian privacy laws information cannot be provided via an email request.",2025-08-30T06:49:35.215353,0.9,Federal government directory - Hours of Operation: Monday to Friday: 8.00 am to 7.00 pm (AEST).  We are closed on Australian national public holidays.
gov_phone_8,phone,13 1232,Australian Passport Information Service,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,"Australian Passport Information Service (Telephone Service) Hours of operation:-You can call us on 131 232 Monday to Friday: 8.00 am to 7.00 pm (AEST)-You can submit your documents and forms at any Australian Passport Office. You must make an appointment before attending. Someone can attend on your behalf. Hours for appointments are 8:30am to 1pm, Monday to Friday.-Direct queries to: https://www.smartraveller.gov.au/consular-services/notarial-services/documents-in-australia-Authentications, Apostilles and Certificates of No Impediment - refer to the Legalising documents page for forms, costs and other important information. Documents lodged through the mail are processed in Sydney and Melbourne.-We can legalise your documents in Australia by mail or in person. To request our services, complete the Document legalisation request form. It's important that you prepare your documents and complete the request form accurately. We don't accept incomplete requests.Passport website:  www.passports.gov.auDue to Australian privacy laws information cannot be provided via an email request.",2025-08-30T06:49:35.215378,0.9,Federal government directory - Hours of Operation: Monday to Friday: 8.00 am to 7.00 pm (AEST).  We are closed on Australian national public holidays.
gov_phone_9,phone,131 232,Australian Passport Office,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,"For legalisation services, please make an appointment at  Australian Passport Office - Perth | Perth [ Book now ]",2025-08-30T06:49:35.215401,0.9,Federal government directory - Hours of Operation: 8:30am to 4:00 pm weekdays
