contact_id,contact_type,contact_value,organization_name,organization_type,source_agent,source_url,address,suburb,state,postcode,services,verified_date,confidence_score,notes,risk_level,priority_score,geographic_region,category
gov_phone_0,phone,1800 228 333,Administrative Appeals Tribunal,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,General enquiries,2025-08-30T06:49:35.215058,0.9,Federal government directory - Hours of Operation: Business Hours,safe,0.0,Federal,Official Services
gov_phone_1,phone,1800 550 552,Aged Care Complaints,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,Available to all users of aged care services,2025-08-30T06:49:35.215123,0.9,Federal government directory - Hours of Operation: Business Hours,safe,0.0,Federal,Official Services
gov_phone_2,phone,1800 200 422,Aged Care Information Line,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,Information about Community Aged Care Packages and residential care fees in Australian Government funded facilities,2025-08-30T06:49:35.215160,0.9,Federal government directory - Hours of Operation: Business hours,safe,0.0,Federal,Official Services
gov_phone_3,phone,1800 250 015,Alcohol Campaign Information Line,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,Alcohol and Drug Information Service,2025-08-30T06:49:35.215220,0.9,Federal government directory - nan,safe,0.0,Federal,Official Services
gov_phone_4,phone,1800 020 648,ASIO - Australian Security Intelligence,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,,2025-08-30T06:49:35.215267,0.9,Federal government directory - nan,safe,0.0,Federal,Official Services
gov_phone_10,phone,1300 558 849,Australian Prudential Regulation Authori,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,APRA is the prudential regulator of financial institutions.,2025-08-30T06:49:35.215425,0.9,Federal government directory - nan,safe,0.0,Federal,Official Services
gov_phone_11,phone,1300 300 630,Australian Securities and Investments Co,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,General Enquiries,2025-08-30T06:49:35.215447,0.9,Federal government directory - Hours of Operation: Business,safe,0.0,Federal,Official Services
gov_phone_12,phone,1800 815 257,Aviation Search and Rescue,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,,2025-08-30T06:49:35.215507,0.9,Federal government directory - Hours of Operation: 24 hour emergency,safe,0.0,Federal,Official Services
gov_phone_13,phone,1300 364 785,Bankruptcy (personal) information,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/b#paginationControl,,,Federal,,AFSA Bankruptcy (personal) information line.,2025-08-30T06:49:35.215588,0.9,Federal government directory - Hours of Operation: Monday to Friday 8:30 am to 8:00 pm (AEST and AEDT),safe,0.0,Federal,Official Services
gov_phone_14,phone,1800 838 372,Bereavement,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/b#paginationControl,,,Federal,,A bereavement payment is designed to help with the costs that may follow the death of a pensioner or a current or former serving member. The bereavement payment may depend on when the person who died was injured,2025-08-30T06:49:35.215621,0.9,Federal government directory - Hours of Operation: 8am to 5 pm,safe,0.0,Federal,Official Services
gov_phone_18,phone,1300 130 248,Business-hours Non-profit organisations,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/b#paginationControl,,,Federal,,"8am-6pm, Mon-Fri (local time) except national public holidays",2025-08-30T06:49:35.215723,0.9,Federal government directory - nan,safe,0.0,Federal,Official Services
gov_phone_22,phone,1800 242 636,Carer Resource Centres,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/c#paginationControl,,,Federal,,Information and advice about services and assistance for carers,2025-08-30T06:49:35.215813,0.9,Federal government directory - nan,safe,0.0,Federal,Official Services
gov_phone_25,phone,1800 020 283,Commemorative Grants,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/c#paginationControl,,,Federal,,"Enquiries regarding Saluting Their Service Grants Program which aims to preserve Australia’s wartime heritage and to involve people throughout the nation in a range of projects and activities that highlight the service and sacrifice of Australia’s service personnel in wars, conflicts and peace operations.",2025-08-30T06:49:35.215879,0.9,Federal government directory - nan,safe,0.0,Federal,Official Services
gov_phone_26,phone,1800 838 372,Community Nursing,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/c#paginationControl,,,Federal,,Community Nursing,2025-08-30T06:49:35.215900,0.9,Federal government directory - nan,safe,0.0,Federal,Official Services
gov_phone_27,phone,1300 302 502,Competition and Consumer information - A,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/c#paginationControl,,,Federal,,Information line to explain rights and obligations to business and consumers,2025-08-30T06:49:35.215921,0.9,Federal government directory - Hours of Operation: 11am-3pm Monday to Friday,safe,0.0,Federal,Official Services
gov_phone_28,phone,1800 199 010,"Complaints, compliments and suggestions",government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/c#paginationControl,,,Federal,,"We welcome your feedback - complaints, compliments and suggestions - about the services we provide and your experience with the way we deliver those services. This feedback helps us improve the way we do things.Call from overseas: +61 2 6216 1111",2025-08-30T06:49:35.215941,0.9,Federal government directory - nan,safe,0.0,Federal,Official Services
gov_phone_30,phone,1300 555 135,Consular Emergency Centre,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/c#paginationControl,,,Federal,,"The Consular Emergency Centre (CEC) provides emergency consular services 24 hours a day, seven days a week, around the world.",2025-08-30T06:49:35.215982,0.9,Federal government directory - nan,safe,0.0,Federal,Official Services
gov_phone_31,phone,1800 330 066,Continence Helpline,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/c#paginationControl,,,Federal,,Assistance to improve continence treatment and management,2025-08-30T06:49:35.216003,0.9,Federal government directory - Hours of Operation: Business hours,safe,0.0,Federal,Official Services
gov_phone_32,phone,1300 552 662,Defence Service Home Insurance,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/d#paginationControl,,,Federal,,Comprehensive home building insurance cover tailored to the Defence community,2025-08-30T06:49:35.216023,0.9,Federal government directory - Hours of Operation: available 24/7 for emergency claim assistance,safe,0.0,Federal,Official Services
gov_phone_33,phone,1800 722 000,Defence Service Home Lending,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/d#paginationControl,,,Federal,,Housing loans to recognise the contribution of those who have served in the Australian Defence Force,2025-08-30T06:49:35.216044,0.9,Federal government directory - nan,safe,0.0,Federal,Official Services
gov_phone_34,phone,1300 366 448,Dementia Behaviour Advisory Service,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/d#paginationControl,,,Federal,,This is a national telephone service to assist carers who look after those with dementia.,2025-08-30T06:49:35.216064,0.9,Federal government directory - Hours of Operation: 24 Hours,safe,0.0,Federal,Official Services
gov_phone_35,phone,1800 100 500,Dementia Helpline,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/d#paginationControl,,,Federal,,The Dementia Helpline is a national support service staffed by trained and experienced advisors.,2025-08-30T06:49:35.216084,0.9,Federal government directory - Hours of Operation: 24 Hours,safe,0.0,Federal,Official Services
gov_phone_36,phone,1800 838 372,DVA Feedback,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/d#paginationControl,,,Federal,,DVA Feedback,2025-08-30T06:49:35.216104,0.9,Federal government directory - Hours of Operation: 8am to 5 pm Monday to Friday,safe,0.0,Federal,Official Services
