contact_id,contact_type,contact_value,organization_name,organization_type,source_agent,source_url,address,suburb,state,postcode,services,verified_date,confidence_score,notes,risk_level,priority_score,geographic_region,category
hospital_36_phone,phone,1300 225013,Braeside Hospital,hospital,nsw_hospitals_agent,NSW Health API,Locked Bag 82 Wetherill Park 1851<br/>340 Prairie Vale Road,Prairiewood,NSW,2176.0,No emergency department,2025-08-30T17:19:34.891125,0.95,LHD: South Western Sydney Local Health District,safe,0.8500000000000001,NSW,Healthcare Services
hospital_0_phone,phone,02 6058 4444,Albury Wodonga Health,hospital,nsw_hospitals_agent,NSW Health API,201 Borella Road,Albury,NSW,2640.0,No emergency department,2025-08-30T17:19:34.890182,0.95,LHD: Albury Wodonga Health,safe,1.05,NSW,Healthcare Services
hospital_1_phone,phone,02 6776 9500,Armidale Rural Referral Hospital,hospital,nsw_hospitals_agent,NSW Health API,Rusden Street,Armidale,NSW,2350.0,Reporting wait times,2025-08-30T17:19:34.890223,0.95,LHD: Hunter New England Local Health District,safe,1.05,NSW,Healthcare Services
hospital_2_phone,phone,02 8759 3000,Auburn Hospital & Community Health Services,hospital,nsw_hospitals_agent,NSW Health API,Hargrave Road,Auburn,NSW,2144.0,Reporting wait times,2025-08-30T17:19:34.890253,0.95,LHD: Western Sydney Local Health District,safe,1.05,NSW,Healthcare Services
hospital_3_phone,phone,02 6686 2111,Ballina District Hospital,hospital,nsw_hospitals_agent,NSW Health API,Cherry Street,Ballina,NSW,2478.0,Not reporting wait times,2025-08-30T17:19:34.890280,0.95,LHD: Northern NSW Local Health District,safe,1.05,NSW,Healthcare Services
hospital_4_phone,phone,02 9395 2111,Balmain Hospital,hospital,nsw_hospitals_agent,NSW Health API,29 Booth Street,Balmain,NSW,2041.0,No emergency department,2025-08-30T17:19:34.890306,0.95,LHD: Sydney Local Health District,safe,1.05,NSW,Healthcare Services
hospital_5_phone,phone,03 5020 1606,Balranald District Hospital,hospital,nsw_hospitals_agent,NSW Health API,Market Street,Balranald,NSW,2715.0,Not reporting wait times,2025-08-30T17:19:34.890337,0.95,LHD: Far West Local Health District,safe,1.05,NSW,Healthcare Services
hospital_6_phone,phone,02 9722 8000,Bankstown Lidcombe Hospital,hospital,nsw_hospitals_agent,NSW Health API,Eldridge Road,Bankstown,NSW,2200.0,Reporting wait times,2025-08-30T17:19:34.890361,0.95,LHD: South Western Sydney Local Health District,safe,1.05,NSW,Healthcare Services
hospital_7_phone,phone,02 6843 4100,Baradine Multi-Purpose Service,hospital,nsw_hospitals_agent,NSW Health API,Cnr Darling and Macquarie Street,Baradine,NSW,2396.0,Not reporting wait times,2025-08-30T17:19:34.890385,0.95,LHD: Western NSW Local Health District,safe,1.05,NSW,Healthcare Services
hospital_8_phone,phone,02 6843 1909,Baradine Residential Aged Care,hospital,nsw_hospitals_agent,NSW Health API,Corner of Darling and Macquarie Street,Baradine,NSW,2396.0,No emergency department,2025-08-30T17:19:34.890410,0.95,LHD: Western NSW Local Health District,safe,1.05,NSW,Healthcare Services
hospital_9_phone,phone,03 5451 1000,Barham Koondrook Soldiers Memorial Hospital,hospital,nsw_hospitals_agent,NSW Health API,Punt Road,Barham,NSW,2732.0,Not reporting wait times,2025-08-30T17:19:34.890434,0.95,LHD: Murrumbidgee Local Health District,safe,1.05,NSW,Healthcare Services
hospital_10_phone,phone,02 6782 2500,Barraba Multi Purpose Service,hospital,nsw_hospitals_agent,NSW Health API,Edward Street,Barraba,NSW,2347.0,Not reporting wait times,2025-08-30T17:19:34.890458,0.95,LHD: Hunter New England Local Health District,safe,1.05,NSW,Healthcare Services
hospital_11_phone,phone,02 6782 2507,Barraba Residential Aged Care,hospital,nsw_hospitals_agent,NSW Health API,Edward Street,Barraba,NSW,2347.0,No emergency department,2025-08-30T17:19:34.890482,0.95,LHD: Hunter New England Local Health District,safe,1.05,NSW,Healthcare Services
