contact_id,contact_type,contact_value,organization_name,organization_type,source_agent,source_url,address,suburb,state,postcode,services,verified_date,confidence_score,notes,risk_level,priority_score,geographic_region,category
gov_phone_0,phone,1800 228 333,Administrative Appeals Tribunal,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,General enquiries,2025-08-30T17:19:34.884618,0.9,Federal government directory - Hours of Operation: Business Hours,safe,0.0,Federal,Official Services
gov_phone_1,phone,1800 550 552,Aged Care Complaints,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,Available to all users of aged care services,2025-08-30T17:19:34.884680,0.9,Federal government directory - Hours of Operation: Business Hours,safe,0.0,Federal,Official Services
gov_phone_2,phone,1800 200 422,Aged Care Information Line,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,Information about Community Aged Care Packages and residential care fees in Australian Government funded facilities,2025-08-30T17:19:34.884716,0.9,Federal government directory - Hours of Operation: Business hours,safe,0.0,Federal,Official Services
gov_phone_3,phone,1800 250 015,Alcohol Campaign Information Line,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,Alcohol and Drug Information Service,2025-08-30T17:19:34.884745,0.9,Federal government directory - nan,safe,0.0,Federal,Official Services
gov_phone_4,phone,1800 020 648,ASIO - Australian Security Intelligence,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,,2025-08-30T17:19:34.884774,0.9,Federal government directory - nan,safe,0.0,Federal,Official Services
gov_phone_10,phone,1300 558 849,Australian Prudential Regulation Authori,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,APRA is the prudential regulator of financial institutions.,2025-08-30T17:19:34.884914,0.9,Federal government directory - nan,safe,0.0,Federal,Official Services
gov_phone_11,phone,1300 300 630,Australian Securities and Investments Co,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,General Enquiries,2025-08-30T17:19:34.884936,0.9,Federal government directory - Hours of Operation: Business,safe,0.0,Federal,Official Services
gov_phone_12,phone,1800 815 257,Aviation Search and Rescue,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,,2025-08-30T17:19:34.884957,0.9,Federal government directory - Hours of Operation: 24 hour emergency,safe,0.0,Federal,Official Services
gov_phone_13,phone,1300 364 785,Bankruptcy (personal) information,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/b#paginationControl,,,Federal,,AFSA Bankruptcy (personal) information line.,2025-08-30T17:19:34.884978,0.9,Federal government directory - Hours of Operation: Monday to Friday 8:30 am to 8:00 pm (AEST and AEDT),safe,0.0,Federal,Official Services
gov_phone_14,phone,1800 838 372,Bereavement,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/b#paginationControl,,,Federal,,A bereavement payment is designed to help with the costs that may follow the death of a pensioner or a current or former serving member. The bereavement payment may depend on when the person who died was injured,2025-08-30T17:19:34.884999,0.9,Federal government directory - Hours of Operation: 8am to 5 pm,safe,0.0,Federal,Official Services
