article_title,scam_type,threat_type,threat_value,date_reported,scam_tactics,impersonated_organizations,article_url,source
Scam alert: ACCC phone numbers spoofed by scammers,phone_spoofing,phone,1800 595 160,23 Jun 2025,"urgency, authority, greed, curiosity","ACCC, Bank",https://www.scamwatch.gov.au/about-us/news-and-alerts/scam-alert-accc-phone-numbers-spoofed-by-scammers,Scamwatch
Fusion cell disrupts scam job networks targeting Australians,phone_spoofing,general,,30 May 2025,"authority, greed","ACCC, NAB, Government",https://www.scamwatch.gov.au/about-us/news-and-alerts/fusion-cell-disrupts-scam-job-networks-targeting-australians,Scamwatch
Australians better protected as reported scam losses fell by almost 26 per cent,phone_spoofing,general,,11 Mar 2025,"urgency, authority, greed","ACCC, Bank, Government",https://www.scamwatch.gov.au/about-us/news-and-alerts/australians-better-protected-as-reported-scam-losses-fell-by-almost-26-per-cent,Scamwatch
Scam alert: Investment bonds scam,phone_spoofing,phone,1800 595 160,11 Feb 2025,"urgency, authority, greed, curiosity","ACCC, Bank, NAB, Government",https://www.scamwatch.gov.au/about-us/news-and-alerts/scam-alert-investment-bonds-scam,Scamwatch
Scam alert: Social media scams,phone_spoofing,phone,1800 595 160,9 Dec 2024,"urgency, authority, greed","ACCC, Bank, Government",https://www.scamwatch.gov.au/about-us/news-and-alerts/social-media-scams,Scamwatch
Scam alert: Online shopping scams,phone_spoofing,phone,1800 595 160,4 Dec 2024,"authority, greed, curiosity","ACCC, Bank, PayPal",https://www.scamwatch.gov.au/about-us/news-and-alerts/online-shopping-scams,Scamwatch
Scam alert: Card collection scam,phone_spoofing,phone,1800 007 007,20 Nov 2024,"urgency, authority, greed","ACCC, Police, Bank",https://www.scamwatch.gov.au/about-us/news-and-alerts/scam-alert-card-collection-scam,Scamwatch
Scam alert: Bulk email extortion scam,phone_spoofing,phone,1800 595 160,24 Oct 2024,"urgency, greed","ACCC, Police, Bank",https://www.scamwatch.gov.au/about-us/news-and-alerts/scam-alert-bulk-email-extortion-scam,Scamwatch
Scam alert: Scammers are targeting Australians in hardship,phone_spoofing,phone,1800 595 160,22 Oct 2024,"urgency, authority, greed","ACCC, Centrelink, Police, Bank, Government",https://www.scamwatch.gov.au/about-us/news-and-alerts/scam-alert-scammers-targeting-australians-in-hardship,Scamwatch
Scam alert: Scammers are targeting Australians in hardship,phone_spoofing,phone,1800 941 126,22 Oct 2024,"urgency, authority, greed","ACCC, Centrelink, Police, Bank, Government",https://www.scamwatch.gov.au/about-us/news-and-alerts/scam-alert-scammers-targeting-australians-in-hardship,Scamwatch
Scam alert: Scammers are targeting Australians in hardship,phone_spoofing,phone,1800 007 007,22 Oct 2024,"urgency, authority, greed","ACCC, Centrelink, Police, Bank, Government",https://www.scamwatch.gov.au/about-us/news-and-alerts/scam-alert-scammers-targeting-australians-in-hardship,Scamwatch
Scam alert: Scammers are targeting Australians in hardship,phone_spoofing,phone,13 64 57,22 Oct 2024,"urgency, authority, greed","ACCC, Centrelink, Police, Bank, Government",https://www.scamwatch.gov.au/about-us/news-and-alerts/scam-alert-scammers-targeting-australians-in-hardship,Scamwatch
"Scam alert: Scammers impersonating banks in text messages, phone calls and emails",phone_spoofing,phone,1800 595 160,18 Oct 2024,"urgency, greed, curiosity","ACCC, Police, Bank",https://www.scamwatch.gov.au/about-us/news-and-alerts/scam-alert-scammers-impersonating-banks-in-text-messages-phone-calls-and-emails,Scamwatch
